frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,beverages,soft cheese,hard cheese,cream cheese,mayonnaise,domestic eggs,rolls/buns,roll products,flour,pasta,margarine,specialty fat,sugar,soups,skin care,hygiene articles,candles
root vegetables,herbs,whipped/sour cream,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,whole milk,whipped/sour cream,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,other vegetables,whole milk,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,tropical fruit,whole milk,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,yogurt,beverages,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,butter milk,brown bread,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,rolls/buns,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,whole milk,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,margarine,bottled beer,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,soda,detergent,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,frozen vegetables,flour,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,UHT-milk,flour,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown bread,margarine,long life bakery product,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,frozen potato products,rice,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter,rolls/buns,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
processed cheese,rolls/buns,soda,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,yogurt,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,soda,misc. beverages,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned vegetables,white wine,newspapers,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,hygiene articles,photo/film,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,whole milk,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,whole milk,beverages,frozen dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,beverages,frozen meals,frozen dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,frozen vegetables,frozen meals,frozen dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,whole milk,butter,frozen fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liver loaf,whole milk,curd,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,whole milk,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,yogurt,frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,UHT-milk,cream cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,onions,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,other vegetables,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,other vegetables,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,brown bread,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown bread,meat spreads,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,citrus fruit,butter,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,oil,canned fruit,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,coffee,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter milk,cream cheese,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,dessert,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,whole milk,frozen vegetables,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,frozen meals,ice cream,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream cheese,white bread,Instant food products,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,misc. beverages,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,sliced cheese,misc. beverages,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,whole milk,pasta,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,hard cheese,pastry,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,rice,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,domestic eggs,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,sliced cheese,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cream cheese,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,dessert,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finished products,other vegetables,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,other vegetables,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,dessert,sweet spreads,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,dessert,UHT-milk,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkey,whole milk,UHT-milk,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,whole milk,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter milk,yogurt,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,pastry,coffee,hair spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,root vegetables,other vegetables,hard cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,curd cheese,abrasive cleaner,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pip fruit,berries,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,salty snack,dishes,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,ice cream,hygiene articles,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,bottled water,bottled beer,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,pastry,bottled water,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,rolls/buns,dish cleaner,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,other vegetables,frozen vegetables,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white bread,flour,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,tea,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,onions,herbs,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,bottled beer,liquor (appetizer),hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,beverages,pastry,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,butter,soda,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,domestic eggs,soda,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish,UHT-milk,cream cheese,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,soft cheese,mayonnaise,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,root vegetables,other vegetables,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,yogurt,whipped/sour cream,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,other vegetables,whole milk,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,brown bread,instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,frozen vegetables,pet care,instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,beef,rolls/buns,instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,other vegetables,pasta,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,white bread,spices,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,whipped/sour cream,hard cheese,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,root vegetables,whipped/sour cream,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,UHT-milk,bottled beer,kitchen towels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,salty snack,kitchen towels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,rolls/buns,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,dessert,waffles,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,white bread,sugar,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,sugar,coffee,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,soda,misc. beverages,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,
pet care,bottled water,soda,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,cream cheese,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,specialty cheese,flour,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,beverages,frozen meals,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,frozen vegetables,fruit/vegetable juice,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,liquor,liquor (appetizer),long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,dessert,pastry,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,whole milk,salty snack,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,whole milk,soft cheese,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,pastry,bottled water,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen fish,chocolate marshmallow,candy,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,soda,canned beer,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,brown bread,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,brown bread,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,brown bread,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,butter milk,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,pork,frozen vegetables,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,oil,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,domestic eggs,oil,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,frozen fish,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,frozen meals,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,UHT-milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,whipped/sour cream,semi-finished bread,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,whole milk,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pip fruit,whole milk,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,root vegetables,whole milk,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,root vegetables,whole milk,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,yogurt,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter milk,rolls/buns,meat spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,hard cheese,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,other vegetables,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,pasta,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,frozen vegetables,pastry,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,domestic eggs,roll products,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,condensed milk,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,other vegetables,spread cheese,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,UHT-milk,zwieback,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,curd,semi-finished bread,mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cat food,bottled water,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,curd,bottled water,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,brown bread,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,brown bread,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,pastry,candy,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,bottled water,canned beer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,bottled water,canned beer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,rolls/buns,canned beer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,yogurt,cat food,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,soda,chewing gum,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,ketchup,chocolate,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,whole milk,curd,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,soda,dish cleaner,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,yogurt,fruit/vegetable juice,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish cleaner,bathroom cleaner,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,oil,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbs,other vegetables,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,onions,liquor (appetizer),napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,white bread,make up remover,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,brown bread,margarine,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,other vegetables,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,brown bread,pastry,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish,brown bread,pet care,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,salty snack,popcorn,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,frozen dessert,salty snack,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,fruit/vegetable juice,salty snack,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chocolate,specialty bar,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,rolls/buns,specialty bar,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,long life bakery product,waffles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,waffles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,onions,whole milk,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,whole milk,yogurt,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,bottled water,bottled beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,bottled beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,bottled beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,baking powder,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,beverages,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,beverages,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,brown bread,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard cheese,rolls/buns,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spread cheese,rolls/buns,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,other vegetables,butter,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,bottled water,canned beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,cat food,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,syrup,chewing gum,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,canned beer,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,beef,citrus fruit,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,popcorn,cleaner,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,hygiene articles,cling film/bags,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,pastry,cocoa drinks,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condensed milk,rolls/buns,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,coffee,cooking chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,liquor (appetizer),dental care,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,UHT-milk,domestic eggs,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,yogurt,domestic eggs,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled vegetables,bottled water,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen vegetables,seasonal products,hygiene articles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,fruit/vegetable juice,long life bakery product,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,canned beer,male cosmetics,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,canned fish,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,pastry,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salty snack,specialty bar,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,beef,other vegetables,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,beverages,pastry,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,pastry,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,white bread,pet care,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,bottled beer,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liver loaf,curd,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,whole milk,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,chewing gum,seasonal products,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,snack products,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,bottled water,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,bottled water,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned fish,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,condensed milk,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,mayonnaise,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finished products,bottled water,specialty bar,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,soda,specialty bar,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,chewing gum,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,fruit/vegetable juice,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,pastry,sugar,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,whole milk,UHT-milk,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sauces,red/blush wine,waffles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,root vegetables,waffles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,waffles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,tropical fruit,waffles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,other vegetables,whipped/sour cream,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,whipped/sour cream,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,whipped/sour cream,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,meat,white bread,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,other vegetables,white bread,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,whole milk,white bread,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,white bread,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,bottled water,white wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,bottled water,white wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,root vegetables,whole milk,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,curd,yogurt,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,baking powder,sweet spreads,nut snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,chicken,brown bread,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,root vegetables,butter milk,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter milk,frozen fish,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,other vegetables,whipped/sour cream,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,ham,citrus fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liver loaf,pip fruit,grapes,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,root vegetables,onions,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,tropical fruit,pip fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,pip fruit,root vegetables,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,yogurt,brown bread,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,whole milk,rolls/buns,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,beverages,brown bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,domestic eggs,brown bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,root vegetables,brown bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,brown bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,other vegetables,domestic eggs,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,whole milk,domestic eggs,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,turkey,frozen vegetables,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,root vegetables,other vegetables,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,beef,packaged fruit/vegetables,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,domestic eggs,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,soft cheese,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,whole milk,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,yogurt,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkey,pip fruit,salad dressing,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,sliced cheese,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,soft cheese,white bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,beef,whole milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,other vegetables,whole milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
